,Unnamed: 0,Clock,PhaseID,PhaseTime,PhaseName,RucksNo,PosGainline,NegGainline,Linebreak,LineBreakPrevPhase,rdNear,rdRuck,rdFar,rdMiddle,rsSlow,rsMedium,rsFast,KickTotal,KickedInfield,KickedtoTouch,Try
1496,1496,0.0,679,0.3867041759666563,:POSSESSION,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1512,1512,0.0,695,0.08255513633332613,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1520,1520,0.0,703,0.12932896446666575,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1532,1532,0.0,715,0.08936202203334176,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,1544,0.0,727,0.0840163280833508,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1559,1559,0.0,742,0.233405935416684,:POSSESSION,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1574,1574,0.0,757,2.293327612966678,:POSSESSION,18.0,0.0,0.0,1.0,From Kick Reception,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,1601,0.0,784,0.10533681743333999,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1650,1650,0.0,15,0.09731203168333324,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1660,1660,0.0,25,0.1186740416333334,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1702,1702,0.0,67,0.1286205688666664,:POSSESSION,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727,1727,0.0,92,0.09131830790000173,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1736,1736,0.0,101,0.1060252373000008,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1749,1749,0.0,114,0.12907237328333387,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1761,1761,0.0,126,1.1924637781333338,:POSSESSION,11.0,0.0,0.0,1.0,RD - Near,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780,1780,0.0,145,0.1833617962666665,:POSSESSION,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1812,1812,0.0,177,0.04935881108333007,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1816,1816,0.0,181,0.11336025778333435,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1834,1834,0.0,199,0.1213752977333371,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1839,1839,0.0,204,0.5526392098166646,:POSSESSION,5.0,0.0,0.0,0.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1856,1856,0.0,221,0.12270977243333192,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867,1867,0.0,232,0.5202953103833323,:POSSESSION,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1882,1882,0.0,247,0.5160269214333333,:POSSESSION,4.0,0.0,0.0,0.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,1955,0.0,320,0.18336553688333626,:POSSESSION,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
